Identifier,Age,Height,Level of studies,Voice type,accent,Hair color,glasses,Body type,Tattoos,Gender,PK,food,JobInvolvement,WorkLifeBalance,jailexp
1010,55,153.34,8,deep,Midwestern American,blond,Yes,ectomorph,No,F,Yes,Burger,High,great,Missing
1011,53,163.22,?,deep,french,white/gray,No,mesomorph,No,NB,Yes,Missing,VeryHigh,6687,105
1012,42,150.18,6,deep,East Coast City Dialects,blond,Yes,mesomorph,No,NB,?,Pizza,8556,8556,1233
1013,24,199.28,3,high pitched,Midwestern American,red,No,endomorph,No,M,No,Burger,VeryHigh,4905,595
**??,23,175.9,4,high pitched,?,white/gray,No,ectomorph,Yes,M,No,Hot Dogs,9692,9692,169
1015,22,175.74,0,mid range,Northern Irish,white/gray,No,mesomorph,------->?,F,No,Hot Dogs,Low,Bad,Missing
1016,35,149.18,**??,mid range,Southern American,Missing,Yes,mesomorph,Missing,F,Yes,Burger,VeryHigh,3945,1495
1017,20,------->?,0,mid range,Canadian,dyed,No,ectomorph,**??,NB,No,Hot Dogs,VeryHigh,5638,------->?
1018,20,208.68,1,mid range,East Coast City Dialects,blond,No,ectomorph,?,M,No,Hot Dogs,Medium,Good,1383
1019,52,162.69,4,deep,Boston,Missing,Yes,endomorph,No,M,Yes,Burger,9707,9707,203
1020,34,141.02,5,deep,Southern American,brown,Missing,endomorph,No,M,Yes,Apple Pie,VeryHigh,7184,15
,,,,,,,,,,,,,,,
?,20,192.8,4,mid range,french,Missing,No,ectomorph,No,NB,No,Hot Dogs,Medium,Good,717
,,,,,,,,,,,,,,,
1024,20,191.68,2,high pitched,Midwestern American,white/gray,Yes,endomorph,No,M,No,Burger,8045,8045,------->?
1025,32,150.84,6,deep,Welsh,Missing,Yes,endomorph,No,F,Yes,Burger,9043,9043,**??
1026,55,154.32,6,deep,Midwestern American,blond,Yes,mesomorph,Yes,F,Yes,Missing,High,great,?
1027,50,167.77,7,deep,Missing,brown,Yes,mesomorph,No,M,Yes,Burger,Low,Bad,?
1028,23,199.22,3,mid range,Southern American,white/gray,No,mesomorph,Yes,M,?,Hot Dogs,8956,8956,?
1029,47,156.76,6,deep,Southern American,------->?,Yes,ectomorph,No,M,Yes,?,VeryHigh,5269,887
1030,31,157.25,7,deep,Boston,brown,Yes,ectomorph,No,NB,Yes,Pizza,7592,7592,1405
1031,53,163.39,6,deep,Cockney,brown,No,ectomorph,Yes,M,Yes,Burger,VeryHigh,6247,------->?
1032,20,196.79,1,Missing,Welsh,black,No,mesomorph,No,M,No,Apple Pie,High,great,**??
1033,45,144.99,7,mid range,**??,blond,Yes,mesomorph,Yes,M,Yes,Burger,High,great,1415
1034,22,183.56,3,high pitched,Southern American,white/gray,No,mesomorph,?,NB,No,Hot Dogs,9237,9237,1293
------->?,45,142.72,8,deep,Midwestern American,blond,No,mesomorph,**??,NB,Yes,Pizza,Medium,Good,1207
1036,24,184.77,4,high pitched,french,white/gray,No,ectomorph,No,F,No,Pizza,VeryHigh,5216,283
1037,28,150.65,**??,deep,Midwestern American,blond,No,mesomorph,No,F,Yes,Burger,8403,8403,215
1038,27,140.66,5,deep,East Coast City Dialects,?,No,endomorph,Yes,M,Yes,Pizza,VeryHigh,4989,?
1039,35,142.26,6,deep,East Coast City Dialects,blond,Yes,ectomorph,Yes,F,Yes,Apple Pie,VeryHigh,5661,------->?
1040,19,200.63,4,high pitched,Italian,white/gray,No,ectomorph,Missing,M,No,Burger,7555,7555,733
1041,Missing,162.76,5,deep,Midwestern American,**??,No,endomorph,Yes,M,Yes,Pizza,8135,8135,?
1042,52,152.37,6,deep,Boston,white/gray,Yes,mesomorph,Yes,NB,Yes,Missing,Low,Bad,1449
1043,24,206.38,1,high pitched,Southern American,black,No,Missing,Missing,M,Missing,Burger,8753,8753,177
1044,30,158.41,5,mid range,Italian,blond,Yes,mesomorph,No,M,Yes,Burger,8081,8081,1013
1045,23,194.78,1,mid range,Yorkshire,black,Yes,ectomorph,No,F,No,Hot Dogs,VeryHigh,5801,------->?
1046,24,198.71,2,high pitched,Cockney,white/gray,Yes,ectomorph,No,M,No,Hot Dogs,Medium,Good,903
1047,52,160.29,4,deep,Midwestern American,brown,No,ectomorph,Yes,M,Yes,Pizza,Medium,Good,Missing
?,------->?,150.2,8,mid range,Midwestern American,blond,Yes,ectomorph,Yes,NB,Yes,Pizza,8810,8810,?
1049,52,162.88,8,deep,Scottish,**??,Yes,ectomorph,Yes,M,Yes,Pizza,High,great,Missing
1050,39,155.85,4,mid range,Welsh,white/gray,Yes,ectomorph,Yes,M,Yes,Pizza,High,great,941
1051,19,180.48,3,deep,Northern Irish,black,Missing,?,No,Missing,No,Missing,VeryHigh,7354,1115
1052,55,141.1,4,deep,Southern American,brown,No,ectomorph,Yes,F,Yes,Burger,9587,9587,**??
1053,52,156.11,6,deep,Northern Irish,blond,Missing,mesomorph,Yes,F,Yes,Burger,VeryHigh,4900,?
1054,40,146.5,4,Missing,?,blond,Yes,Missing,Yes,F,Yes,Burger,VeryHigh,5242,1309
1055,35,155.19,?,deep,Northern Irish,brown,Yes,mesomorph,No,F,Yes,Hot Dogs,VeryHigh,4630,?
1056,51,160.99,6,mid range,Boston,brown,Missing,ectomorph,Yes,M,Yes,Burger,7598,7598,483
1057,22,199.82,**??,high pitched,Southern American,black,No,ectomorph,Yes,M,No,Burger,Medium,Good,------->?
1058,50,165.35,6,?,Southern American,brown,------->?,mesomorph,No,M,Yes,------->?,VeryHigh,4144,51
1059,21,191.51,0,mid range,Northern Irish,white/gray,------->?,mesomorph,No,M,No,Hot Dogs,High,great,657
1060,35,161.25,Missing,?,East Coast City Dialects,black,Yes,endomorph,Yes,M,Yes,**??,8721,8721,Missing
1061,23,178.85,2,high pitched,Midwestern American,white/gray,No,mesomorph,Missing,F,No,Hot Dogs,VeryHigh,4770,1037
1062,55,148.5,8,deep,Italian,blond,Yes,mesomorph,No,NB,**??,Burger,VeryHigh,4673,1411
------->?,30,157.89,8,deep,Midwestern American,blond,Yes,mesomorph,Yes,F,Yes,Burger,7604,7604,163
1064,37,159.29,5,deep,Italian,brown,Yes,endomorph,------->?,F,------->?,Hot Dogs,VeryHigh,6814,1409
1065,Missing,209.6,4,high pitched,Welsh,black,Yes,endomorph,No,M,No,Burger,VeryHigh,3988,1201
1066,22,175.39,1,deep,East Coast City Dialects,black,No,mesomorph,Yes,NB,No,Pizza,VeryHigh,7485,389
1067,24,185.24,1,mid range,East Coast City Dialects,?,No,ectomorph,No,NB,No,Burger,VeryHigh,4653,------->?
1068,19,178.05,4,deep,Southern American,black,Yes,------->?,No,M,?,Hot Dogs,VeryHigh,4589,**??
1069,22,205.04,0,high pitched,Midwestern American,white/gray,No,endomorph,No,NB,No,Pizza,VeryHigh,5368,------->?
1070,34,163.9,6,deep,Midwestern American,blond,No,mesomorph,No,F,Yes,Burger,Low,Bad,481
1071,28,143.53,4,deep,Boston,white/gray,Yes,mesomorph,Yes,NB,Yes,Burger,VeryHigh,5848,?
1072,18,193.37,Missing,mid range,Midwestern American,black,No,ectomorph,Yes,M,No,Hot Dogs,VeryHigh,4065,1377
1073,33,151.74,4,high pitched,Southern American,blond,Yes,mesomorph,Yes,NB,Yes,Pizza,VeryHigh,6369,1397
1074,22,176.08,3,mid range,Southern American,white/gray,Yes,endomorph,No,M,No,Pizza,Low,Bad,**??
1075,**??,153.31,**??,deep,East Coast City Dialects,brown,No,endomorph,?,F,Yes,Burger,VeryHigh,4370,931
1076,Missing,155.86,7,deep,East Coast City Dialects,brown,Yes,ectomorph,Yes,M,Yes,Burger,9174,9174,Missing
1077,42,142.56,4,mid range,Southern American,brown,Yes,?,Yes,M,------->?,Burger,VeryHigh,4990,1345
1078,26,141.49,8,mid range,East Coast City Dialects,brown,Yes,mesomorph,No,NB,Yes,Pizza,9889,9889,165
?,36,168.68,5,?,Midwestern American,blond,Yes,mesomorph,Yes,?,Yes,Pizza,VeryHigh,3927,1073
1080,**??,?,5,deep,Scottish,dyed,No,endomorph,Yes,F,Yes,Burger,High,great,1181
1081,------->?,166.02,**??,mid range,Canadian,blond,Yes,ectomorph,No,F,Yes,Burger,VeryHigh,4274,793
1082,26,157.19,7,high pitched,Midwestern American,Missing,No,endomorph,Yes,M,Yes,Pizza,VeryHigh,5267,?
1083,48,------->?,6,deep,french,blond,Missing,mesomorph,Yes,NB,Yes,Burger,VeryHigh,6175,Missing
1084,19,175.81,0,?,Northern Irish,blond,No,ectomorph,Yes,NB,No,Hot Dogs,9780,9780,1375
1085,52,165.3,7,deep,East Coast City Dialects,black,Yes,ectomorph,No,M,Yes,Pizza,Medium,Good,479
1086,------->?,181.26,1,high pitched,Midwestern American,black,No,mesomorph,No,F,No,Hot Dogs,Low,Bad,355
1087,52,155.77,7,deep,East Coast City Dialects,blond,Yes,mesomorph,Yes,Missing,Yes,Burger,VeryHigh,7175,**??
1088,35,151.04,**??,deep,Midwestern American,Missing,Yes,ectomorph,No,M,Yes,Missing,VeryHigh,6485,**??
1089,25,144.19,6,deep,Canadian,brown,Yes,endomorph,No,F,Yes,Burger,8968,8968,403
1090,38,151.63,6,**??,Canadian,brown,Yes,mesomorph,Yes,NB,Yes,Pizza,High,great,?
1091,39,164.27,6,deep,Midwestern American,blond,Yes,ectomorph,No,NB,**??,Burger,VeryHigh,3884,------->?
1092,?,163.95,8,**??,Southern American,blond,Yes,ectomorph,Yes,F,Yes,Burger,VeryHigh,5958,Missing
1093,47,156.41,5,deep,french,red,Yes,mesomorph,No,M,Yes,Burger,VeryHigh,5245,?
1094,48,144.6,Missing,deep,Northern Irish,brown,No,mesomorph,Yes,NB,Yes,Hot Dogs,7976,7976,721
1095,39,162.97,8,deep,East Coast City Dialects,brown,Yes,ectomorph,No,NB,Yes,Burger,Medium,Good,**??
------->?,39,164.69,6,?,Northern Irish,brown,Yes,mesomorph,Yes,F,Yes,Apple Pie,VeryHigh,6093,**??
1097,21,172.65,2,deep,East Coast City Dialects,blond,No,ectomorph,Yes,M,No,Burger,VeryHigh,4189,?
1098,46,?,6,deep,East Coast City Dialects,brown,Yes,mesomorph,Yes,NB,Yes,?,9568,9568,1053
?,56,164.51,4,**??,french,blond,No,**??,Yes,M,Yes,Hot Dogs,Medium,Good,Missing
1100,40,164.04,5,high pitched,East Coast City Dialects,red,Yes,**??,Yes,F,Yes,Burger,VeryHigh,4530,**??
1101,------->?,173.81,4,high pitched,Northern Irish,white/gray,No,ectomorph,Yes,NB,No,Burger,7841,7841,Missing
1102,53,141.15,8,mid range,Southern American,blond,Yes,ectomorph,No,F,Yes,Burger,8874,8874,?
1103,35,153.84,7,deep,french,brown,Yes,endomorph,No,M,?,Burger,7544,7544,------->?
1104,26,?,8,deep,Midwestern American,brown,Yes,mesomorph,No,M,Yes,Apple Pie,Medium,Good,1401
1105,23,197.97,1,deep,**??,black,No,ectomorph,No,F,No,Hot Dogs,VeryHigh,4736,**??
1106,38,159.86,7,deep,Scottish,blond,Yes,mesomorph,Yes,M,Yes,Apple Pie,7520,7520,Missing
1107,22,Missing,1,mid range,Southern American,black,Yes,ectomorph,Yes,M,**??,Hot Dogs,VeryHigh,6397,379
?,21,183.27,3,deep,Northern Irish,**??,Yes,ectomorph,Yes,**??,No,Pizza,VeryHigh,4214,225
1109,21,Missing,4,------->?,East Coast City Dialects,brown,No,endomorph,No,M,No,Missing,7716,7716,781
**??,23,204.89,1,high pitched,Southern American,blond,No,ectomorph,?,Missing,No,Burger,High,great,------->?
1111,30,157.4,8,deep,Missing,black,Yes,mesomorph,Yes,M,Yes,Burger,8926,8926,------->?
1112,34,162.74,5,deep,Midwestern American,blond,Yes,endomorph,No,M,Yes,Burger,9896,9896,**??
1113,39,167.8,5,high pitched,East Coast City Dialects,dyed,Yes,mesomorph,No,F,Yes,------->?,Medium,Good,3
1114,24,193.25,1,deep,Southern American,brown,No,mesomorph,Yes,M,No,Pizza,VeryHigh,4282,?
1115,54,154.39,5,mid range,Welsh,brown,Yes,endomorph,Yes,F,Yes,Pizza,High,great,Missing
1116,21,209.04,3,Missing,Italian,black,No,endomorph,No,NB,Missing,Apple Pie,Low,Bad,**??
1117,29,141.91,8,high pitched,Midwestern American,brown,Yes,mesomorph,**??,F,**??,Burger,8245,8245,769
1118,42,150.52,6,mid range,Boston,Missing,Yes,endomorph,Yes,F,Yes,------->?,VeryHigh,3901,1043
?,19,171.32,**??,deep,french,black,Yes,ectomorph,------->?,M,**??,Hot Dogs,High,great,531
1120,------->?,198.94,**??,mid range,Yorkshire,black,No,ectomorph,No,NB,No,Hot Dogs,Medium,Good,957
1121,54,162.32,4,mid range,Midwestern American,blond,Yes,ectomorph,No,M,Yes,Missing,VeryHigh,6932,13
1122,32,141.8,5,deep,Midwestern American,brown,Yes,mesomorph,Yes,F,Yes,Burger,VeryHigh,6602,Missing
1123,32,156.27,7,deep,Midwestern American,white/gray,Yes,endomorph,No,M,Yes,Burger,High,great,Missing
1124,23,Missing,2,mid range,Southern American,black,No,mesomorph,Yes,NB,No,Burger,Low,Bad,157
1125,37,169.1,7,deep,East Coast City Dialects,brown,No,endomorph,Yes,NB,**??,Apple Pie,High,great,593
**??,28,142.83,8,high pitched,Northern Irish,black,Yes,mesomorph,No,M,Yes,Pizza,9610,9610,617
1127,20,177.34,3,deep,Midwestern American,white/gray,Yes,ectomorph,No,M,No,Pizza,Medium,Good,------->?
1128,26,144.27,?,deep,**??,blond,Yes,endomorph,No,NB,**??,Burger,9593,9593,75
1129,18,176.42,0,mid range,Northern Irish,white/gray,Yes,endomorph,Yes,M,No,Apple Pie,VeryHigh,5354,881
1130,32,166.35,5,deep,Southern American,brown,No,mesomorph,No,NB,Yes,Pizza,VeryHigh,7227,1389
1131,52,160.63,5,high pitched,?,dyed,No,endomorph,Yes,M,Yes,Pizza,9540,9540,**??
1132,54,------->?,8,?,Southern American,brown,Yes,mesomorph,Yes,F,Yes,Pizza,8217,8217,745
1133,21,183.17,4,high pitched,Welsh,white/gray,No,ectomorph,No,**??,No,Burger,7858,7858,579
1134,27,160.29,5,high pitched,Southern American,blond,Yes,mesomorph,Yes,NB,**??,Burger,8731,8731,------->?
------->?,32,164.35,6,mid range,Midwestern American,blond,No,mesomorph,No,F,Yes,Pizza,VeryHigh,6024,691
1136,55,155.34,6,Missing,Midwestern American,brown,Yes,mesomorph,Yes,NB,Yes,Burger,Medium,Good,771
1137,------->?,148.1,7,deep,East Coast City Dialects,black,Yes,ectomorph,No,M,Yes,Pizza,Low,Bad,557
1138,23,196.02,4,high pitched,Welsh,black,No,mesomorph,No,M,No,Hot Dogs,9747,9747,Missing
1139,33,154.57,6,mid range,Southern American,blond,No,ectomorph,No,NB,Yes,Burger,9321,9321,------->?
1140,24,188.62,3,mid range,East Coast City Dialects,brown,No,endomorph,Yes,M,No,Pizza,VeryHigh,5398,?
1141,29,Missing,6,mid range,Canadian,blond,Yes,ectomorph,Yes,M,Yes,Burger,High,great,461
1142,19,178.12,3,deep,Canadian,black,No,mesomorph,Yes,M,**??,Pizza,8539,8539,347
1143,?,150.84,5,deep,Southern American,brown,Yes,endomorph,No,**??,Yes,?,VeryHigh,6708,937
1144,45,146.03,6,deep,Southern American,brown,Yes,ectomorph,No,NB,Yes,Burger,High,great,------->?
1145,28,151.88,8,deep,Cockney,blond,No,mesomorph,Yes,NB,Yes,Burger,VeryHigh,5755,Missing
**??,19,185.56,4,high pitched,Northern Irish,black,Yes,endomorph,Yes,M,No,Hot Dogs,Low,Bad,1155
1147,19,208.1,0,mid range,Boston,black,No,mesomorph,Yes,M,No,Hot Dogs,9758,9758,------->?
1148,25,152.08,5,deep,Southern American,blond,Yes,mesomorph,No,M,Yes,Apple Pie,VeryHigh,5709,57
1149,37,166.42,7,deep,East Coast City Dialects,red,Yes,ectomorph,Yes,F,Yes,Burger,High,great,639
1150,19,194.63,Missing,deep,Southern American,?,No,ectomorph,Yes,M,No,Pizza,7558,7558,391
1151,42,164.01,4,deep,Scottish,brown,Yes,mesomorph,Yes,NB,Yes,Burger,VeryHigh,4941,39
1152,Missing,178.54,4,high pitched,East Coast City Dialects,white/gray,**??,ectomorph,No,M,No,Pizza,VeryHigh,4980,------->?
1153,20,171.89,1,high pitched,Southern American,------->?,No,ectomorph,Missing,M,No,Pizza,Medium,Good,1475
1154,55,155.25,6,Missing,Midwestern American,blond,No,endomorph,Yes,NB,Yes,Burger,VeryHigh,7325,1041
1155,18,?,2,high pitched,Canadian,red,Yes,ectomorph,Missing,M,No,Burger,VeryHigh,4215,Missing
1156,21,202.78,1,high pitched,**??,black,No,ectomorph,Yes,NB,No,Pizza,Low,Bad,**??
1157,19,190.51,0,high pitched,Midwestern American,white/gray,**??,ectomorph,No,------->?,No,Burger,9863,9863,------->?
1158,56,150.43,8,deep,Midwestern American,------->?,?,mesomorph,No,NB,Yes,Burger,High,great,?
1159,------->?,189.3,3,mid range,Midwestern American,white/gray,No,ectomorph,No,M,No,Burger,9177,9177,Missing
1160,22,------->?,0,high pitched,Southern American,black,No,ectomorph,Yes,NB,?,Burger,8995,8995,Missing
Missing,56,158.72,7,deep,East Coast City Dialects,brown,No,ectomorph,Yes,M,Yes,Burger,Low,Bad,------->?
1162,24,179.2,3,high pitched,East Coast City Dialects,white/gray,Yes,mesomorph,Yes,M,No,Missing,VeryHigh,5490,1371
1163,56,?,8,deep,Midwestern American,blond,Yes,mesomorph,No,NB,Yes,Burger,VeryHigh,6670,1187
1164,48,153.03,5,deep,?,white/gray,No,mesomorph,Yes,NB,Yes,Burger,VeryHigh,7349,------->?
Missing,22,171.53,**??,high pitched,Midwestern American,brown,No,Missing,No,M,No,Hot Dogs,High,great,143
1166,24,183.85,**??,deep,East Coast City Dialects,white/gray,No,mesomorph,No,NB,No,Burger,High,great,------->?
1167,23,Missing,1,high pitched,Canadian,white/gray,------->?,ectomorph,No,M,No,Pizza,VeryHigh,6740,1317
1168,42,167.69,7,mid range,East Coast City Dialects,black,Yes,mesomorph,No,F,Yes,Burger,Low,Bad,1229
1169,24,208.58,1,mid range,Midwestern American,white/gray,Missing,ectomorph,No,NB,No,Burger,Medium,Good,223
1170,Missing,184.83,2,deep,East Coast City Dialects,white/gray,No,ectomorph,Yes,M,No,Pizza,Medium,Good,?
1171,Missing,165.59,Missing,mid range,Southern American,blond,Yes,mesomorph,No,F,Yes,Burger,8440,8440,1365
?,45,143.48,5,deep,french,black,No,ectomorph,No,F,Yes,Burger,VeryHigh,6068,------->?
1173,27,163.42,------->?,high pitched,Northern Irish,blond,Missing,mesomorph,Yes,F,Yes,Burger,9874,9874,1127
1174,19,205.07,2,deep,Northern Irish,white/gray,Yes,mesomorph,Yes,NB,No,Burger,8584,8584,1393
1175,26,157.18,6,deep,Southern American,blond,Yes,mesomorph,No,M,Yes,?,Medium,Good,?
1176,18,184.9,4,high pitched,Yorkshire,white/gray,Yes,Missing,Yes,NB,No,Hot Dogs,VeryHigh,6362,**??
Missing,**??,146.32,4,deep,Northern Irish,dyed,Yes,mesomorph,Yes,NB,Yes,Pizza,8967,8967,1349
1178,49,141.71,5,mid range,Northern Irish,brown,Yes,mesomorph,**??,NB,Yes,Burger,8822,8822,17
1179,52,150.07,8,?,?,blond,Yes,endomorph,No,F,Yes,?,Low,Bad,919
1180,45,154.96,4,deep,Southern American,blond,Yes,endomorph,Yes,NB,Yes,Burger,8471,8471,Missing
------->?,------->?,195.45,1,------->?,Southern American,Missing,Yes,ectomorph,Yes,F,No,Burger,VeryHigh,6698,653
1182,48,165.77,8,mid range,Northern Irish,------->?,No,------->?,No,NB,Yes,Pizza,VeryHigh,5341,725
1183,35,146.09,6,mid range,Midwestern American,black,No,mesomorph,No,M,Yes,Burger,9820,9820,?
1184,50,145.17,4,deep,Northern Irish,?,No,**??,Yes,NB,Yes,Hot Dogs,VeryHigh,7431,?
1185,46,157.44,5,high pitched,Northern Irish,brown,No,ectomorph,No,M,Yes,Burger,High,great,303
1186,40,164.51,5,high pitched,Southern American,black,Yes,ectomorph,Yes,NB,Yes,Burger,Medium,Good,?
1187,22,196.07,0,high pitched,Midwestern American,white/gray,Yes,ectomorph,Yes,Missing,No,Burger,9240,9240,1347
1188,20,**??,2,Missing,Midwestern American,white/gray,No,Missing,Yes,NB,No,Burger,9601,9601,Missing
1189,29,148.79,6,deep,Southern American,brown,No,ectomorph,No,------->?,Yes,Burger,VeryHigh,4646,1321
1190,22,Missing,2,high pitched,East Coast City Dialects,white/gray,No,mesomorph,------->?,M,No,Hot Dogs,8360,8360,519
1191,28,169.88,8,deep,------->?,blond,No,mesomorph,------->?,F,Yes,Pizza,VeryHigh,6920,1159
1192,44,153.72,5,high pitched,Northern Irish,**??,Yes,ectomorph,No,M,Yes,Burger,VeryHigh,3878,575
1193,18,192.11,1,deep,Midwestern American,brown,No,ectomorph,Yes,M,No,Apple Pie,VeryHigh,5658,?
1194,43,167.4,Missing,**??,french,blond,?,ectomorph,Yes,M,Yes,Pizza,High,great,Missing
Missing,34,152.81,4,deep,Southern American,blond,Yes,ectomorph,No,F,Yes,Burger,9852,9852,------->?
1196,19,188.67,2,high pitched,Cockney,white/gray,Yes,ectomorph,No,M,No,Pizza,VeryHigh,5173,**??
1197,19,180.15,3,high pitched,Midwestern American,brown,No,endomorph,No,F,No,Burger,VeryHigh,3987,?
1198,22,192.25,3,mid range,Northern Irish,black,No,ectomorph,Yes,F,Missing,Burger,Low,Bad,421
1199,36,147.65,5,deep,Welsh,brown,No,ectomorph,No,F,Yes,Burger,VeryHigh,6863,1297
1200,**??,152.37,5,high pitched,Southern American,brown,Missing,ectomorph,No,M,Yes,Apple Pie,9049,9049,999
1201,53,159.18,4,high pitched,Midwestern American,brown,No,endomorph,------->?,M,Yes,Hot Dogs,VeryHigh,6819,465
1202,38,163.96,------->?,deep,Italian,brown,No,mesomorph,No,F,Yes,Burger,Low,Bad,437
1203,24,176.77,0,deep,**??,Missing,No,mesomorph,No,M,No,Hot Dogs,Low,Bad,263
1204,53,162.71,5,mid range,Midwestern American,blond,Yes,endomorph,Yes,M,Yes,Pizza,VeryHigh,3570,------->?
1205,23,181.98,1,mid range,Midwestern American,red,No,endomorph,No,F,No,?,9496,9496,?
1206,43,147.14,4,deep,Boston,blond,Yes,mesomorph,No,M,Yes,Missing,8362,8362,------->?
1207,45,167.09,**??,deep,East Coast City Dialects,blond,Yes,endomorph,No,F,Yes,Pizza,VeryHigh,4807,?
1208,52,165.55,6,high pitched,East Coast City Dialects,blond,Yes,mesomorph,No,M,Yes,Burger,VeryHigh,5608,395
1209,46,144.35,5,mid range,Midwestern American,brown,Yes,------->?,No,M,Yes,Burger,VeryHigh,7081,------->?
1210,56,154.02,6,?,Welsh,blond,No,mesomorph,No,F,Yes,Pizza,Low,Bad,253
1211,53,143.29,5,Missing,Yorkshire,blond,Yes,mesomorph,No,F,Yes,Burger,High,great,1485
1212,40,143.24,6,mid range,Northern Irish,black,Yes,ectomorph,Yes,M,Yes,Pizza,8619,8619,?
1213,36,158.06,**??,deep,Scottish,brown,Yes,mesomorph,Yes,F,**??,Burger,VeryHigh,7271,951
1214,29,?,6,deep,Southern American,brown,Yes,endomorph,No,F,Yes,Burger,Low,Bad,385
1215,Missing,159,8,deep,Boston,white/gray,No,endomorph,No,F,?,Hot Dogs,7719,7719,Missing
1216,20,186.13,3,mid range,Midwestern American,black,No,ectomorph,No,M,No,Burger,Medium,Good,1117
1217,38,142.93,4,deep,Northern Irish,blond,Yes,endomorph,Yes,F,Yes,Hot Dogs,8236,8236,?
1218,46,144.37,7,deep,East Coast City Dialects,brown,Yes,endomorph,No,M,Yes,Apple Pie,8356,8356,353
1219,**??,157.3,6,high pitched,Yorkshire,brown,No,ectomorph,Yes,M,Yes,Missing,VeryHigh,4306,?
1220,38,158.12,4,deep,?,blond,No,endomorph,Missing,F,Yes,Burger,Low,Bad,561
1221,21,184.86,Missing,mid range,Missing,white/gray,Yes,mesomorph,Yes,NB,No,Burger,VeryHigh,4973,577
1222,35,162.28,7,mid range,Cockney,blond,No,?,Yes,NB,Yes,Burger,VeryHigh,6865,?
1223,26,?,7,mid range,Southern American,blond,Yes,**??,Yes,?,------->?,Pizza,7999,7999,Missing
1224,47,Missing,4,deep,Midwestern American,blond,No,ectomorph,Yes,NB,Yes,Apple Pie,7628,7628,853
1225,31,150.42,6,deep,french,brown,No,endomorph,------->?,M,Yes,Burger,High,great,?
------->?,23,208.28,2,deep,Northern Irish,black,No,endomorph,Yes,F,No,Hot Dogs,High,great,Missing
1227,43,159.18,7,deep,Welsh,black,No,ectomorph,Yes,F,Yes,Burger,High,great,**??
1228,**??,141.74,7,------->?,Yorkshire,blond,Yes,mesomorph,Yes,NB,Yes,?,High,great,------->?
1229,**??,192.3,0,high pitched,Southern American,black,No,endomorph,No,NB,No,Hot Dogs,9022,9022,1077
------->?,**??,180.6,Missing,high pitched,------->?,white/gray,No,ectomorph,No,Missing,No,Burger,High,great,583
1231,24,198.89,0,high pitched,Midwestern American,white/gray,No,ectomorph,Yes,NB,No,Hot Dogs,VeryHigh,6516,1083
1232,42,145,5,mid range,Northern Irish,black,No,mesomorph,Yes,M,Yes,Burger,VeryHigh,5008,------->?
1233,48,164.16,7,**??,Southern American,red,Yes,ectomorph,**??,M,Yes,**??,Low,Bad,361
1234,25,161.78,6,deep,Welsh,brown,No,endomorph,No,F,?,Burger,VeryHigh,5849,Missing
1235,33,Missing,4,deep,Midwestern American,brown,Yes,ectomorph,No,NB,Yes,------->?,VeryHigh,7380,1319
1236,20,176.04,?,?,Southern American,white/gray,No,mesomorph,No,NB,No,Apple Pie,Medium,Good,------->?
1237,47,156.65,8,deep,East Coast City Dialects,brown,No,mesomorph,Yes,F,?,Burger,9520,9520,183
1238,20,200.44,0,high pitched,East Coast City Dialects,white/gray,?,ectomorph,No,?,No,Pizza,8244,8244,1085
1239,39,150.09,5,mid range,East Coast City Dialects,**??,Yes,ectomorph,No,M,Yes,Pizza,Medium,Good,------->?
1240,Missing,?,1,deep,Midwestern American,black,Missing,ectomorph,No,M,No,------->?,High,great,731
1241,25,156.07,6,deep,Southern American,blond,No,mesomorph,Yes,F,Yes,Burger,VeryHigh,5786,1471
1242,39,140.22,8,mid range,Welsh,dyed,------->?,ectomorph,?,F,Yes,Hot Dogs,VeryHigh,4337,Missing
Missing,18,186.12,4,deep,Southern American,brown,No,Missing,No,M,No,Burger,VeryHigh,7016,Missing
1244,24,197.27,1,mid range,East Coast City Dialects,black,No,endomorph,No,NB,No,?,VeryHigh,5695,?
1245,**??,151.02,8,high pitched,Midwestern American,white/gray,Yes,endomorph,Yes,M,Yes,Burger,High,great,857
1246,40,140.59,8,deep,Canadian,brown,No,mesomorph,No,NB,Yes,Pizza,High,great,Missing
1247,41,149.95,4,mid range,Northern Irish,blond,------->?,ectomorph,No,M,Yes,Burger,Low,Bad,949
1248,45,**??,**??,mid range,Southern American,brown,Yes,ectomorph,No,M,Yes,Burger,VeryHigh,5309,1413
1249,24,187.74,0,high pitched,East Coast City Dialects,white/gray,Yes,mesomorph,------->?,M,No,Hot Dogs,Medium,Good,Missing
1250,19,184.95,1,high pitched,Northern Irish,black,Yes,mesomorph,No,NB,No,Hot Dogs,High,great,------->?
1251,45,154.05,8,mid range,Southern American,dyed,No,endomorph,No,NB,Yes,Burger,VeryHigh,6647,747
1252,54,148.64,7,high pitched,Welsh,blond,Yes,ectomorph,Yes,M,Yes,Burger,High,great,Missing
1253,Missing,140.75,4,mid range,Midwestern American,------->?,Yes,mesomorph,Yes,M,Yes,Pizza,8288,8288,97
1254,18,202.68,2,high pitched,Midwestern American,white/gray,No,ectomorph,Yes,M,No,Pizza,VeryHigh,3704,415
1255,31,149.9,8,high pitched,Cockney,blond,No,Missing,Yes,NB,?,Burger,Medium,Good,675
